,Features,MaxEV,Gini,Coefficients
0,DP02_0058PE_avg,0.14717232334164848,0.002,[0.02717789]
1,DP03_0089PE_avg,0.024284018042757326,0.0014051502145922745,[-0.1392286]
2,DP04_0050PE_avg,0.07549700352801622,0.001,[0.04403014]
3,DP04_0062PE_avg,0.07549700352801622,0.001,[0.04403014]
4,DP04_0076PE_avg,0.07549700352801622,0.002,[0.04403014]
5,DP05_0025PE_avg,0.1690984317375521,0.001,[-0.06696862]
