,Features,MaxEV,Gini,Coefficients
0,DP02_0024PE_avg,0.08758817400240743,0.003828168341321942,[-0.05337495]
1,DP02_0043PE_avg,0.0075562877293285004,0.013002395479554563,[0.05695604]
2,DP02_0058PE_avg,0.14717232334164848,0.028937057474673407,[0.03372573]
3,DP02_0150PE_avg,0.07549700352801622,0.01333890148811703,[-0.03891892]
4,DP03_0008PE_avg,0.1224052420644912,0.0034923543140323397,[0.04991772]
5,DP03_0018PE_avg,0.11119264568092561,0.006147571216106444,[-0.01336457]
6,DP03_0104PE_avg,0.1076016562638218,0.004207602645032531,[-0.02066128]
7,DP03_0109PE_avg,0.007784137437251418,0.006317012050606504,[0.07222833]
