,Features,MaxEV,Gini,Coefficients
0,DP02_0088PE_gini,0.07712730317107637,0.0016678586850697287,0.08784783684453663
1,DP02_0128PE_gini,0.06885468653122816,0.0011119043255284839,0.07077862913396328
2,DP02_0008PE_avg,0.07296740313265976,0.004755592931724478,0.10615251870078381
3,DP02_0021PE_avg,0.07114672527811906,0.0021474325953127235,0.09665494104918498
4,DP02_0026PE_avg,0.06314815706199466,0.0010646595168603708,0.0826970958405301
5,DP02_0057PE_avg,0.11162664341850789,0.0013308372389826879,0.10201582075905032
6,DP02_0064PE_avg,0.062427712235126685,0.0010922933611399802,-0.11095979670607958
7,DP02_0131PE_avg,0.07939334658408541,0.002661240185386489,-0.14016006247560042
8,DP02_0134PE_avg,0.07076468878626588,0.0013237318075724936,0.10200663268609306
9,DP03_0022PE_avg,0.06463522419805794,0.0020683628126347098,-0.11688579916025443
10,DP03_0035PE_avg,0.07747564542821249,0.0014489087201438144,-0.04615596314369975
11,DP03_0043PE_avg,0.09535752009089125,0.0016554422614878772,0.07574323871123205
12,DP03_0074PE_avg,0.08661293700804854,0.0029585225935374114,-0.10166170427430632
13,DP03_0115PE_avg,0.06773113668361619,0.002026073757436999,0.1622863494955027
14,DP03_0121PE_avg,0.07312067945898935,0.002217488901977366,0.06486198546637921
15,DP04_0025PE_avg,0.08874960757153229,0.0011069568400935035,-0.05703998582970225
16,DP04_0028PE_avg,0.06512563816164313,0.001395955277021048,0.34104067579944214
17,DP04_0029PE_avg,0.06555483367690719,0.0012350742027483722,-0.06081696932709628
18,DP04_0039PE_avg,0.06940995381210863,0.0014901594356051754,-0.44974920392109236
19,DP04_0058PE_avg,0.08482534166713192,0.003424839447607983,0.17826130950276153
20,DP04_0061PE_avg,0.07093916163978539,0.0019546602547805113,-0.06046031048820674
21,DP04_0083PE_avg,0.10892261923673335,0.0016049549568258065,0.061015394690984374
22,DP04_0084PE_avg,0.08036206272716183,0.0016830509994009187,-0.0817654131605149
23,DP04_0087PE_avg,0.10135673417280339,0.0035200026467498537,-0.12030483186756451
24,DP04_0124PE_avg,0.09567444580201442,0.03439739979086653,0.1668177407754754
25,DP05_0003PE_avg,0.06707750243632747,0.0012187758417357424,-0.09548359616832322
