,Features,MaxEV,Gini,Coefficients
0,DP02_0102PE_gini,0.07629528672832471,0.0028842202464576536,-0.007484998910012
1,DP02_0137PE_gini,0.06394610054574112,0.0012394708363820284,0.008619675022479047
2,DP04_0014PE_gini,0.06365137461848615,0.001340625338950613,0.005136120685809894
3,DP04_0070PE_gini,0.1010597507908127,0.0013196698075698867,0.005184483053609913
4,DP04_0086PE_gini,0.08559544990897759,0.0015913606997995436,-0.004510746409445017
5,DP02_0004PE_avg,0.0791573039453726,0.001224171747149921,0.010686983590960297
6,DP02_0019PE_avg,0.06293959027235,0.0012078402722291175,-0.0071198869615763365
7,DP02_0057PE_avg,0.11193569484159377,0.0015923441763014798,0.005124083302926777
8,DP02_0060PE_avg,0.08583245030732156,0.0012911848764539265,-0.004188681750151635
9,DP02_0083PE_avg,0.07959873607456817,0.0011750390961213035,-0.004772919942606224
10,DP02_0102PE_avg,0.08849608817058817,0.0012988659754100905,-0.008386362630336904
11,DP02_0112PE_avg,0.09105241350408443,0.0030106788911064934,-0.007302057472486805
12,DP02_0114PE_avg,0.10440016109487754,0.009335305420828824,-0.019428125473778167
13,DP02_0123PE_avg,0.07597555685250942,0.0012403435090657506,0.003122062072095496
14,DP02_0135PE_avg,0.0638873001971255,0.00366440758099894,0.008129083164577382
15,DP03_0007PE_avg,0.06619687848574753,0.0030942202320978023,0.01000415875511245
16,DP03_0022PE_avg,0.06471260476513561,0.0012787949176119703,-0.005307380691246559
17,DP03_0097PE_avg,0.10317173203071404,0.0011199324962051982,-0.017487992989534535
18,DP03_0098PE_avg,0.06314898769789934,0.0028645381393974426,-0.011822728361420402
19,DP03_0101PE_avg,0.06646894250308305,0.002006115968990064,0.0048788380457020055
20,DP03_0106PE_avg,0.08423751876632196,0.0015134553440627806,0.012568391942198696
21,DP03_0107PE_avg,0.06582087977155554,0.0014171910843421307,0.0029901967246371937
22,DP03_0111PE_avg,0.07551547396902776,0.0013687349704072618,0.002929418072145692
23,DP03_0112PE_avg,0.0684958664533613,0.0015113527598366347,-0.0030911086266886267
24,DP03_0116PE_avg,0.09458476064789936,0.0015453039753482074,-0.0044993916808530226
25,DP03_0117PE_avg,0.06597038045309721,0.0013843584622700007,-0.008840557897645825
26,DP03_0118PE_avg,0.08935198953431928,0.0018671997331613523,-0.004468006487268417
27,DP03_0125PE_avg,0.07413439166570351,0.0014056856822610743,-0.003586864431182713
28,DP04_0018PE_avg,0.08044622974251407,0.0015321816260976606,0.005665655849221796
29,DP04_0020PE_avg,0.07982185273882363,0.0011145920383069296,-0.0060993910374980585
30,DP04_0024PE_avg,0.09120971524614885,0.002492254855065745,0.0028143322217558725
31,DP04_0036PE_avg,0.08474695392408874,0.001083199426776031,-0.00941199425461139
32,DP04_0052PE_avg,0.06623431574080288,0.0018824290581777377,0.004188858674572841
33,DP04_0063PE_avg,0.08293850557776837,0.006092547419571865,0.01611751953183327
34,DP04_0065PE_avg,0.10191957336053765,0.0010818339285391903,0.01519532746062596
35,DP04_0071PE_avg,0.1362009099352675,0.0012654604422768145,0.00425151731895282
36,DP04_0077PE_avg,0.08284286713717258,0.0011183906291316313,-0.006129214367282654
37,DP04_0083PE_avg,0.10888158352465144,0.0011846570066475146,0.010058497891266185
38,DP04_0092PE_avg,0.06394033795902156,0.0051032166504759,0.004159995406375553
39,DP04_0105PE_avg,0.10103235077887635,0.00468485953969259,-0.0023575345707891457
40,DP04_0108PE_avg,0.07334125035044038,0.0036444170545713887,0.014273351556553258
41,DP05_0038PE_avg,0.07150159663804977,0.025961481324283563,0.13083259868677635
42,DP05_0059PE_avg,0.0666070806147843,0.001147446292388548,0.011916784461527176
43,DP05_0065PE_avg,0.07217879649652838,0.004637373592382594,-0.13969776977203793
44,DP05_0071PE_avg,0.10608052116799953,0.04149444289789758,0.03690919023551551
45,DP05_0076PE_avg,0.09955432275920295,0.005934129608125398,0.010590889408088396
46,DP05_0078PE_avg,0.07319996957521836,0.01907589107688649,0.01111449151853128
47,DP05_0085PE_avg,0.1561359965490151,0.001227458592536918,-0.00939236221303214
48,DP05_0009PE_avg,0.10905187532013773,0.0012163453405593563,-0.004212046111068721
